exp;ntasks;memory;dispatch;wait
single;13;8192;113151;798110
single;13;8192;114219;768214
single;13;8192;114321;796726
single;13;8192;114255;771159
single;13;8192;114246;776591
single;13;8192;114406;775563
single;13;8192;114239;769914
single;13;8192;114326;797235
single;13;8192;114332;768702
single;13;8192;114349;797248
single;13;8192;114219;768214
single;13;8192;114496;797141
single;13;8192;114208;771314
single;13;8192;114236;771803
single;13;8192;114343;797288
single;13;8192;114267;771081
single;13;8192;114285;777612
single;14;8192;119931;827672
single;14;8192;119636;824325
single;14;8192;119672;824275
single;14;8192;119646;823740
single;14;8192;122345;821586
single;14;8192;119765;823136
single;14;8192;122309;821050
single;14;8192;119762;827984
single;14;8192;119808;827865
single;14;8192;119680;819819
single;14;8192;119922;847936
single;14;8192;122248;820876
single;14;8192;119722;823958
single;14;8192;119703;827446
single;14;8192;121192;846492
single;14;8192;119739;821158
single;14;8192;119685;820632
single;14;8192;119964;848488
single;14;8192;119722;827998
single;14;8192;122284;821006
single;14;8192;119690;823895
single;14;8192;119733;823970
single;14;8192;122349;819583
single;14;8192;119865;845955
single;14;8192;119718;824992
single;14;8192;122294;823822
single;14;8192;122362;818274
single;14;8192;122373;820211
single;14;8192;122275;820327
single;14;8192;122329;839912
single;14;8192;119858;843087
single;14;8192;119759;843119
single;14;8192;119909;845350
single;14;8192;121051;841554
single;14;8192;119792;844411
single;14;8192;119839;843175
single;14;8192;121188;843794
single;14;8192;122322;820021
single;14;8192;119813;842988
single;14;8192;119856;845131
single;14;8192;119768;843178
single;14;8192;119740;845940
single;14;8192;122259;820378
single;14;8192;122362;819610
single;14;8192;121152;846325
single;14;8192;119688;820476
single;14;8192;119859;843012
single;14;8192;119864;845504
single;14;8192;121205;845933
single;14;8192;119654;820389
single;16;8192;134788;931793
single;16;8192;134713;957639
single;16;8192;134542;957965
single;16;8192;134566;957654
single;16;8192;134575;957410
single;16;8192;134617;957543
single;16;8192;134525;957718
single;16;8192;134625;959980
single;16;8192;134438;959014
single;16;8192;134512;960461
single;16;8192;134483;959051
single;16;8192;137125;956649
single;16;8192;134497;957991
single;16;8192;137096;956462
single;16;8192;134659;959913
single;16;8192;134552;957768
single;16;8192;134571;959992
single;16;8192;134419;959151
single;16;8192;134586;957733
single;16;8192;134631;957647
single;16;8192;134635;957638
single;16;8192;134548;958966
single;16;8192;134564;960214
single;16;8192;134603;957687
single;16;8192;134526;957759
single;16;8192;134499;960282
single;16;8192;134291;959463
single;16;8192;134543;957762
single;16;8192;134600;957745
single;16;8192;134504;957673
single;16;8192;134508;959281
single;16;8192;134525;957764
single;16;8192;134537;957488
single;16;8192;134705;957812
single;16;8192;134579;957599
single;16;8192;134566;957577
single;16;8192;134605;959865
single;16;8192;134572;957741
single;16;8192;134677;944326
single;16;8192;134686;928167
single;16;8192;134480;959087
single;16;8192;134460;960147
single;16;8192;134522;959114
single;16;8192;134546;960350
single;16;8192;134545;957680
single;16;8192;134498;957771
single;16;8192;134500;959229
single;16;8192;134581;957677
single;16;8192;134634;957729
single;16;8192;134599;957634
single;17;8192;147155;1006581
single;17;8192;143154;1011147
single;17;8192;143226;1028259
single;17;8192;143056;1000651
single;17;8192;145762;1027605
single;17;8192;142911;1003044
single;17;8192;143136;1006575
single;17;8192;143037;1006536
single;17;8192;142931;1007675
single;17;8192;143084;999422
single;17;8192;145585;1028968
single;17;8192;145500;1026776
single;17;8192;142999;1005235
single;17;8192;145600;1027521
single;17;8192;142997;1007729
single;17;8192;143125;1028938
single;17;8192;142973;1008198
single;17;8192;143221;1028897
single;17;8192;143104;1008024
single;17;8192;143194;1028736
single;17;8192;142976;1004755
single;17;8192;145740;992669
single;17;8192;143060;1008506
single;17;8192;145674;1027257
single;17;8192;143023;1005213
single;17;8192;146994;1025523
single;17;8192;143106;1000480
single;17;8192;145611;1025531
single;17;8192;142940;1008645
single;17;8192;145719;993842
single;17;8192;145697;993240
single;17;8192;146909;1024078
single;17;8192;142987;1004465
single;17;8192;142895;1005538
single;17;8192;143006;1007110
single;17;8192;142995;1005171
single;17;8192;145624;992144
single;17;8192;143018;1006923
single;17;8192;143143;1028435
single;17;8192;142987;1007004
single;17;8192;143124;1026869
single;17;8192;143205;1010777
single;17;8192;143167;1029890
single;17;8192;145627;1027439
single;17;8192;143017;1001863
single;17;8192;143050;1011363
single;17;8192;143195;1028839
single;17;8192;142981;1002294
single;17;8192;143040;1005075
single;17;8192;142949;1011466
single;18;8192;154726;1050085
single;18;8192;154611;1045689
single;18;8192;151581;1078355
single;18;8192;154428;1054531
single;18;8192;154377;1072709
single;18;8192;155484;1043542
single;18;8192;154654;1039062
single;18;8192;156716;1042211
single;18;8192;156683;1039113
single;18;8192;152590;1078855
single;18;8192;156504;1039981
single;18;8192;155394;1073942
single;18;8192;154397;1073403
single;18;8192;156684;1042613
single;18;8192;155531;1077378
single;18;8192;155604;1046514
single;18;8192;156581;1043030
single;18;8192;154328;1038724
single;18;8192;155511;1077112
single;18;8192;156663;1040892
single;18;8192;155591;1079219
single;18;8192;154229;1072735
single;18;8192;155643;1047390
single;18;8192;156525;1040924
single;18;8192;154417;1039105
single;18;8192;156581;1044185
single;18;8192;153716;1075735
single;18;8192;154564;1072874
single;18;8192;154296;1046189
single;18;8192;155651;1045518
single;18;8192;154369;1045521
single;18;8192;155542;1049233
single;18;8192;155591;1048736
single;18;8192;154701;1048598
single;18;8192;155608;1044998
single;18;8192;155039;1078751
single;18;8192;154548;1074762
single;18;8192;154480;1074537
single;18;8192;155631;1041697
single;18;8192;151639;1077394
single;18;8192;155393;1041615
single;18;8192;155601;1076992
single;18;8192;155556;1045861
single;18;8192;155532;1046041
single;18;8192;155565;1077322
single;18;8192;156608;1044192
single;18;8192;156571;1045578
single;18;8192;154329;1050021
single;18;8192;155616;1047677
single;18;8192;155560;1043757
single;19;8192;162908;1099591
single;19;8192;163224;1119759
single;19;8192;163281;1123310
single;19;8192;162593;1099327
single;19;8192;162707;1097169
single;19;8192;162601;1097412
single;19;8192;162810;1096414
single;19;8192;162818;1097118
single;19;8192;162108;1097365
single;19;8192;162757;1097749
single;19;8192;162647;1097754
single;19;8192;162549;1097292
single;19;8192;162083;1097270
single;19;8192;162706;1096752
single;19;8192;162633;1097696
single;19;8192;162699;1097099
single;19;8192;162701;1097771
single;19;8192;162770;1097104
single;19;8192;162688;1097622
single;19;8192;163921;1096357
single;19;8192;162674;1116124
single;19;8192;163302;1123887
single;19;8192;161827;1102782
single;19;8192;162762;1117426
single;19;8192;162775;1101573
single;19;8192;163775;1098172
single;19;8192;162675;1096678
single;19;8192;162643;1098218
single;19;8192;162662;1097784
single;19;8192;162594;1097755
single;19;8192;162811;1098174
single;19;8192;162701;1096902
single;19;8192;162250;1097287
single;19;8192;162713;1097128
single;19;8192;161949;1097792
single;19;8192;162701;1096902
single;19;8192;162739;1097191
single;19;8192;162284;1098842
single;19;8192;162669;1097370
single;19;8192;162630;1098509
single;19;8192;162812;1118900
single;19;8192;162698;1102861
single;19;8192;162783;1115234
